"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BV,27,c,"16",0,0.00,0.935,2.81,478,p,,1302
BV,27,c,"2.5",0,0.00,24.500,73.00,850,p,,1301
BV,33,c,"1.5",0,0.00,23.400,70.00,697,p,,1301
BV,33,c,"14",0,0.00,1.110,3.33,763,p,,1302
BV,33,c,"16",0,0.00,1.000,3.00,557,p,,1302
BV,33,c,"2.5",0,0.00,26.600,80.00,1028,p,,1301
BV,37,c,"1.5",0,0.00,24.300,73.00,769,p,,1301
BV,37,c,"14",0,0.00,1.150,3.45,827,p,,1302
BV,37,c,"16",0,0.00,1.035,3.11,601,p,,1302
BV,37,c,"2.5",0,0.00,27.600,83.00,1139,p,,1301
BW,1,c,"1",0,0.00,0.520,1.60,340,p,,1302
BW,1,c,"1/0",0,0.00,0.560,1.70,410,p,,1302
BW,1,c,"2",0,0.00,0.440,1.30,260,p,,1302
BW,1,c,"2/0",0,0.00,0.620,1.90,510,p,,1302
BW,1,c,"250",0,0.00,0.830,2.50,920,p,,1302
BW,1,c,"3/0",0,0.00,0.670,2.00,620,p,,1302
BW,1,c,"350",0,0.00,0.940,2.80,1260,p,,1302
BW,1,c,"4",0,0.00,0.380,1.10,170,p,,1302
BW,1,c,"4/0",0,0.00,0.740,2.20,760,p,,1302
BW,1,c,"500",0,0.00,1.100,3.30,1780,p,,1302
BW,1,c,"6",0,0.00,0.330,1.00,120,p,,1302
BW,1,c,"8",0,0.00,0.290,0.90,80,p,,1302
BY,2,c,"10",0,0.00,0.440,1.30,136,p,,1302
BY,2,c,"12",0,0.00,0.390,1.20,98,p,,1302
BY,2,c,"14",0,0.00,0.350,1.10,74,p,,1302
BY,2,c,"16",0,0.00,0.320,0.90,57,p,,1302
BY,2,c,"4",0,0.00,0.840,2.50,518,p,,1302
BY,2,c,"6",0,0.00,0.710,2.10,352,p,,1302
BY,2,c,"8",0,0.00,0.560,1.70,222,p,,1302
BY,3,c,"10",0,0.00,0.460,1.40,170,p,,1302
BY,3,c,"12",0,0.00,0.410,1.20,121,p,,1302
BY,3,c,"14",0,0.00,0.370,1.10,90,p,,1302
BY,3,c,"16",0,0.00,0.340,1.00,68,p,,1302
BY,3,c,"4",0,0.00,0.900,2.70,656,p,,1302
BY,3,c,"6",0,0.00,0.750,2.30,443,p,,1302
BY,3,c,"8",0,0.00,0.600,1.80,279,p,,1302
BY,4,c,"10",0,0.00,0.510,1.50,214,p,,1302
BY,4,c,"12",0,0.00,0.450,1.30,150,p,,1302
BY,4,c,"14",0,0.00,0.410,1.20,111,p,,1302
BY,4,c,"16",0,0.00,0.370,1.10,83,p,,1302
BY,4,c,"4",0,0.00,0.990,3.00,829,p,,1302
BY,4,c,"6",0,0.00,0.870,2.60,584,p,,1302
BY,4,c,"8",0,0.00,0.660,2.00,350,p,,1302
C1,2,c,"0.5",0,0.00,5.400,16.20,30,p,,1301
C1,2,c,"0.75",0,0.00,6.000,18.10,38,p,,1301
C1,2,c,"1",0,0.00,6.300,19.00,43,p,,1301
C1,2,c,"1.5",0,0.00,6.800,20.50,53,p,,1301
C1,2,c,"2.5",0,0.00,7.800,23.30,74,p,,1301
C1,2,c,"4",0,0.00,9.000,26.90,108,p,,1301
C1,3,c,"0.5",0,0.00,5.700,17.10,37,p,,1301
C1,3,c,"0.75",0,0.00,6.300,19.00,47,p,,1301
C1,3,c,"1",0,0.00,6.600,19.90,54,p,,1301
C1,3,c,"1.5",0,0.00,7.100,21.40,68,p,,1301
C1,3,c,"2.5",0,0.00,8.200,24.50,99,p,,1301
C1,3,c,"4",0,0.00,9.500,28.50,145,p,,1301
