"desc_code","desc_name"
EZ,Flexible Rubber X-HF-110 0.6/1KV 110C AS/NZS 5000.1
BG,(UL) BC-5W2 FLAT BOAT CABLE 600V 105C DRY 75C WET-ABYC-RoHS
XL,Flexible Rubber X-90 0.6/1KV 90C AS/NZS 5000.1
FR,"LSFLEX125 Fire X-HF-110 0.6/1KV 110C AS/NZS 3013,5000.1 LSZH"
EU,Flexible EMC X-HF-110 0.6/1KV 110C AS/NZS 5000.1 LSZH
WG,"X-HF-110 ELV FIRE 450/750V AS/NZS3013,5000.2,AS1670 LSZH"
WH,"X-HF-110 ELV FIRE/Coll AS/NZS3013,5000.3, AS1670 LSZH"
RS,"250V 90C IEC 60332-3-22 IEEE-45 LSZH Coll"
BH,"0.6/1KV 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire"
LS,LSFLEX125 Switchboard X-HF-110 0.6/1KV AS/NZS5000.1 LSZH
WK,Flexible Rubber R-E-110 1.8/3.3KV 110C AS/NZS 1429
KV,Flexible Submersible 0.6/1KV 110C AS/NZS 5000 LSZH
EH,Flexible X-HF-110/HFS-110-TP 0.6/1KV 110C AS/NZS 5000.1 LSZH
HA,IMC Class 2 SWA
TH,Flexible EMC multicore 0.6/1kV 110C AS/NZS 5000
VT,Flexible Armour Control AS/NZS 3000
VE,Flexible Armour Power  AS/NZS 5000
EM,Power armoured 0.6/1Kv 110C AS/NZS 5000
FJ,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire Coll"
FL,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire I/Coll"
KZ,Flexible Power Screened 0.6/1Kv 110c AS/NZS 5000
PC,Flexible Fire Screened 0.6/1Kv AS/NZS 5001  AS/NZS 3013
UF,Fire resistant screened 0.6/1kV 110C AS/NZS 5001 AS/NZS 3013
EG,"250V 90C IEC 60332-3-22 IEEE-45 LSZH I/Coll"
JD,TRICAB-W AWM 3657 105C 0.6/1kV - AWM I A/B 105C 0.6/1kV FT2
DP,Flexible Power X-90 0.6/1KV 90C AS/NZS5000.1
FH,Flexible Fire Rated EMC X-HF-110 0.6/1KV 110C AS/NZS 5000.1
RD,X-HF-110 450/750V 110C AS/NZS 5000.3 LSZH Coll
KK,Submersible Rubber X-HF-110 0.6/1KV 110C AS/NZS5000.1
OD,Submersible Rubber X-HF-110 0.6/1KV 110C AS/NZS5000.1
CB,Flexible Figure 8 X-HF-110 0.6/1KV 90C
XU,Flexible Rubber EMC X-90 0.6/1KV 90C AS/NZS 5000.1
CN,Flexible Anti-Termite X-HF-110 0.6/1KV 110C AS5000.1 LSZH
GA,GPU Flexible Rubber X-HF-110 0.6/1KV 400HZ LSZH
KP,PACW/X-HF-110/E-RUBBER S-20 0.6/1kV AS/NZS5000.1
XN,Flexible Anti-Termite X-90 0.6/1KV 90C AS5000.1
EN,Flexible Anti-Termite EMC X-HF-110 .6/1kV 110C AS/NZS5000.1
BA,Flexible Anti-Termite 0.6/1kV 110C AS5000 LSZH PACW SWA
JL,Flexible Tri-Rated AWM 3657 0.6/1kV 105C UL/CSA  E171583
LB,EPR X-125 0.6/1kV 110C
LC,XV90 R-70 0.6/1kV 110C
LA,HFHEPR R-70 240V 110C
PA,"0.6/1KV 110C type P IEEE 1580"
PZ,"0.6/1KV 125C type P IEEE 1580"
PB,"0.6/1KV 125C type P IEEE 1580"
PG,"0.6/1KV 125C type P IEEE 1580"
PS,"2KV 125C type P IEEE 1580"
PN,"2KV 125C type P IEEE 1580"
PX,"2KV 125C Armored type P IEEE 1580"
PT,"2KV 125C Heavy Duty type P IEEE 1580"
PW,"1000V 90C PVC/NBR"
PY,"2KV 125C Armored type P IEEE 1580"
PD,"600V 125C Signal type P IEEE 1580"
PH,"600V 125C Signal Armored type P IEEE 1580"
PK,"2KV 125C VFD type P IEEE 1580"
PL,"2KV 125C VFD Armored type P IEEE 1580"
TW,Custom Design US
SC,FLEXIBLE MULTICORE SOLAR 0.6/1KV 110C AS/NZS 5000 LSZH
RN,Flexible Anti-Termite 250V 110C AS5000 LSZH Coll
RW,Flexible Rubber Welding 0.6/1kV 90C AS/NZS1995
FD,Flat X-HF-110/HFS-110-TP 450/750V 110C AS/NZS5000.2  LSZH
BC,"0.6/1KV 90C BS6883 LSZH"
BD,"0.6/1KV 90C BS7917 Fire LSZH"
BE,"0.6/1KV 90C BS6883 Bed LSZH"
BF,"0.6/1KV 90C BS7917 Fire Bed LSZH"
BK,"150/250V 90C BS6883 Ind LSZH"
BL,"150/250V 90C BS6883 Coll LSZH"
BP,"150/250V 90C BS6883 Ind Bed LSZH"
BR,"150/250V 90C BS6883 Coll Bed LSZH"
BM,"150/250V 90C BS7917 Fire Ind LSZH"
BN,"150/250V 90C BS7917 Fire Coll LSZH"
BS,"150/250V 90C BS7917 Fire Ind Bed LSZH"
BT,"150/250V 90C BS7917 Fire Coll Bed LSZH"
DF,"0.6/1KV 90C IEC 92-350 IEEE-45 VFD LSZH IEC60332-3-22"
SD,PV1-F Fig8 PV Cable 0.9/1.5kV DC AS/NZS5033 LSZH 120C
WA,"300V 90C THERMOCOUPLE CABLE Ind/Coll Bed LSZH"
MA,Bare Copper Conductor Class 2  AS/NZS 1125  IEC 60228
FN,"0.6/1kV Anti-Termite Fire Rated LSZH X-HF-110 110C AS5000.1"
TV,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES SHIELDED -CIC
TP,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES - CIC
TR,c(UL)us TC-ER 600V 90C DRY FT1 SUN RES SHIELDED -CIC
TN,(UL) TYPE THHN/THWN 600V FT1 90C DRY / 75C WET
